Request Type,01/02/24,02/02/24,03/02/24,04/02/24,05/02/24,06/02/24,07/02/24,08/02/24,09/02/24,10/02/24,11/02/24,12/02/24,13/02/24,14/02/24,15/02/24,16/02/24,17/02/24,18/02/24,19/02/24,20/02/24,21/02/24,22/02/24,23/02/24,24/02/24,25/02/24,26/02/24,27/02/24,28/02/24,29/02/24
GitHub – add user to org,3,3,,,10,9,1,3,,,,7,4,3,1,,,,,4,4,2,4,,,4,1,2,
GitHub – remove user from org,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
GitHub - add user back to org,,,,,,,,,,,,,,3,1,,,,,,,,,,,,1,2,
GitHub – add user to team/repo,,,,,1,,1,1,,,,,,,,,,,,,2,2,1,,,,,1,
GitHub – remove user from team/repo,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
GitHub - add team to repo,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,1,,
GitHub - add user as maintainer,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
GitHub – add external collaborator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub - manage external collaborator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub – remove external collaborator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub – create team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub – change repo permissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub – archive/unarchive repo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
GitHub - add Renovate to repo,1,1,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,
GitHub - other requests,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
GitHub - information/help,,,,,,,1,,,,,,2,1,,,,,,,,1,,,,2,,,
1Password - add user,,,,,1,,4,1,1,,,,1,,,1,,,1,,1,1,,,,,,,
1Password - remove user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password - password recovery,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
1Password - add vault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password - information/help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWS,,,,,1,1,,,1,,,,2,,,,,,,,,1,,,,,,,
Certicates,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,
CircleCi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dockerhub,,,,,,,1,1,,,,,2,,1,,,,,,,,,,,1,,,
DNS/Domain,3,,,,,,,,1,,,,1,1,,3,,,,,,,,,,4,,,
Pagerduty,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,
Pingdom,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,
Sentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonarcloud,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Zenhub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools Information/help,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,
General infomation/help,,,,,,1,,,3,,,2,,,2,,,,,1,,1,,,,1,,,
Refer to another team,,,,,,,1,1,2,,,1,2,,1,2,,,,,2,,1,,,2,,,
New Joiner request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaver request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
